Anio mes,Codigo IATA,Descripcion,Estado,Pasajeros nacionales,Pasajeros internacionales
201612,PAZ,Poza Rica,Veracruz,2801,0
201612,PBC,Puebla,Puebla,32889,5322
201612,PXM,Puerto Escondido,Oaxaca,26209,170
201612,TCN,Tehuacan,Puebla,257,0
201612,TPQ,Tepic,Nayarit,13012,0
201612,TSL,Tamuin,San Luis Potosi,133,0
201612,UPN,Uruapan,Michoacan,11772,2035
201701,CEN,Ciudad Obregon,Sonora,20490,1367
201701,CLQ,Colima,Colima,10494,68
201701,CME,Ciudad del Carmen,Campeche,27191,838
201701,CPE,Campeche,Campeche,14054,193
201701,CTM,Chetumal,Quintana Roo,19116,45
201701,CVM,Ciudad Victoria,Tamaulipas,4902,124
201701,GYM,Guaymas,Sonora,933,163
201701,LTO,Loreto,Baja California  Sur,1551,5044
201701,MAM,Matamoros,Tamaulipas,6281,5
201701,NLD,Nuevo Laredo,Tamaulipas,6932,38
201701,NOG,Nogales,Sonora,183,35
201701,PAZ,Poza Rica,Veracruz,3028,0
201701,PBC,Puebla,Puebla,31385,5046
201701,PXM,Puerto Escondido,Oaxaca,24819,399
201701,TCN,Tehuacan,Puebla,360,0
201701,TPQ,Tepic,Nayarit,12266,0
201701,TSL,Tamuin,San Luis Potosi,137,0
201701,UPN,Uruapan,Michoacan,10679,1540
201702,CEN,Ciudad Obregon,Sonora,21198,958
201702,CLQ,Colima,Colima,10462,32
201702,CME,Ciudad del Carmen,Campeche,26566,812
201702,CPE,Campeche,Campeche,13987,150
201702,CTM,Chetumal,Quintana Roo,15945,43
201702,CVM,Ciudad Victoria,Tamaulipas,4402,127
201702,GYM,Guaymas,Sonora,865,228
201702,LTO,Loreto,Baja California  Sur,1613,7515
201702,MAM,Matamoros,Tamaulipas,6105,7
201702,NLD,Nuevo Laredo,Tamaulipas,5723,15
201702,NOG,Nogales,Sonora,150,14
201702,PAZ,Poza Rica,Veracruz,2624,0
201702,PBC,Puebla,Puebla,28063,3804
201702,PXM,Puerto Escondido,Oaxaca,17542,374
201702,TCN,Tehuacan,Puebla,353,0
201702,TPQ,Tepic,Nayarit,11478,0
201702,TSL,Tamuin,San Luis Potosi,165,0
201702,UPN,Uruapan,Michoacan,9608,931
201703,CEN,Ciudad Obregon,Sonora,21992,845
201703,CLQ,Colima,Colima,10657,38
201703,CME,Ciudad del Carmen,Campeche,31964,907
201703,CPE,Campeche,Campeche,17558,318
201703,CTM,Chetumal,Quintana Roo,18221,70
201703,CVM,Ciudad Victoria,Tamaulipas,6735,124
201703,GYM,Guaymas,Sonora,921,360
201703,LTO,Loreto,Baja California  Sur,1701,9627
201703,MAM,Matamoros,Tamaulipas,7540,9
201703,NLD,Nuevo Laredo,Tamaulipas,7035,6
201703,NOG,Nogales,Sonora,166,39
201703,PAZ,Poza Rica,Veracruz,3136,0
201703,PBC,Puebla,Puebla,32916,4323
201703,PXM,Puerto Escondido,Oaxaca,19564,406
201703,TCN,Tehuacan,Puebla,281,0
201703,TPQ,Tepic,Nayarit,13444,0
201703,TSL,Tamuin,San Luis Potosi,176,0
201703,UPN,Uruapan,Michoacan,9522,1255
201704,CEN,Ciudad Obregon,Sonora,23001,626
201704,CLQ,Colima,Colima,9280,0
201704,CME,Ciudad del Carmen,Campeche,29227,836
201704,CPE,Campeche,Campeche,17525,323
201704,CTM,Chetumal,Quintana Roo,22779,36
201704,CVM,Ciudad Victoria,Tamaulipas,3973,148
201704,GYM,Guaymas,Sonora,1004,233
201704,IZT,Ixtepec,Oaxaca,158,0
201704,LTO,Loreto,Baja California  Sur,2704,8138
201704,MAM,Matamoros,Tamaulipas,7249,6
201704,NLD,Nuevo Laredo,Tamaulipas,6125,22
201704,NOG,Nogales,Sonora,106,40
201704,PAZ,Poza Rica,Veracruz,2484,0
201704,PBC,Puebla,Puebla,37168,4522
201704,PXM,Puerto Escondido,Oaxaca,24551,339
201704,TCN,Tehuacan,Puebla,325,0
201704,TPQ,Tepic,Nayarit,12015,0
201704,TSL,Tamuin,San Luis Potosi,209,0
201704,UPN,Uruapan,Michoacan,12669,908
201705,CEN,Ciudad Obregon,Sonora,24139,760
201705,CLQ,Colima,Colima,11943,0
201705,CME,Ciudad del Carmen,Campeche,30413,344
201705,CPE,Campeche,Campeche,13271,179
201705,CTM,Chetumal,Quintana Roo,23854,21
201705,CVM,Ciudad Victoria,Tamaulipas,4903,114
201705,GYM,Guaymas,Sonora,967,318
201705,IZT,Ixtepec,Oaxaca,1271,0
201705,LTO,Loreto,Baja California  Sur,1476,3454
201705,MAM,Matamoros,Tamaulipas,7783,3
201705,NLD,Nuevo Laredo,Tamaulipas,6253,37
201705,NOG,Nogales,Sonora,108,29
201705,PAZ,Poza Rica,Veracruz,2709,0
201705,PBC,Puebla,Puebla,37095,4284
201705,PXM,Puerto Escondido,Oaxaca,19231,273
201705,TCN,Tehuacan,Puebla,600,0
201705,TPQ,Tepic,Nayarit,13388,0
201705,TSL,Tamuin,San Luis Potosi,117,0
201705,UPN,Uruapan,Michoacan,12169,885
201706,CEN,Ciudad Obregon,Sonora,23171,612
201706,CLQ,Colima,Colima,10274,0
201706,CME,Ciudad del Carmen,Campeche,30455,535
201706,CPE,Campeche,Campeche,15246,160
201706,CTM,Chetumal,Quintana Roo,24285,17
201706,CVM,Ciudad Victoria,Tamaulipas,6319,100
201706,GYM,Guaymas,Sonora,956,382
201706,IZT,Ixtepec,Oaxaca,1209,0
201706,LTO,Loreto,Baja California  Sur,1664,4628
201706,MAM,Matamoros,Tamaulipas,7371,2
201706,NLD,Nuevo Laredo,Tamaulipas,6524,17
201706,NOG,Nogales,Sonora,138,7
201706,PAZ,Poza Rica,Veracruz,2436,0
201706,PBC,Puebla,Puebla,37226,4639
201706,PXM,Puerto Escondido,Oaxaca,19308,276
201706,TCN,Tehuacan,Puebla,396,0
201706,TPQ,Tepic,Nayarit,12003,0
201706,TSL,Tamuin,San Luis Potosi,164,0
201706,UPN,Uruapan,Michoacan,13733,1116
201707,CEN,Ciudad Obregon,Sonora,28650,601
201707,CLQ,Colima,Colima,10665,0
201707,CME,Ciudad del Carmen,Campeche,31941,508
